id,old_id,name,parent_id,description,founded
98,tungusic_cluster,Tungusic Cluster,78,,
99,jurchen,Jurchen,98,,
100,manchu,Manchu,98,,
101,baltic_cluster,Baltic Cluster,122,,
102,latvian,Latvian,101,,
103,lithuanian,Lithuanian,101,,
104,breton,Breton,105,,
105,celtic_cluster,Celtic Cluster,122,,
106,irish,Irish,105,,
107,scottish_gaelic,Scottish Gaelic,105,,
108,welsh,Welsh,105,,
109,anglo_saxon,Anglo-Saxon,116,,
110,dutch,Dutch,116,,
111,english,English,116,,
112,german,German,116,,
113,germanic_peoples,Germanic peoples,116,,
114,gothic,Gothic,116,,
115,icelandic,Icelandic,116,,
116,germanic_cluster,Germanic Cluster,122,,
117,scandinavian,Scandinavian,116,,
118,ancient_greek,Ancient Greek,119,,
119,hellenic_cluster,Hellenic Cluster,122,,
120,macedonian,Macedonian,119,,
121,modern_greek,Modern Greek,119,,
122,eurasian,EURASIAN,,,
123,assamese,Assamese,127,,
124,bengali,Bengali,127,,
125,gujarati,Gujarati,127,,
126,hindustani,Hindustani,127,,
127,indo_aryan_cluster,Indo-Aryan Cluster,122,,
128,marathi,Marathi,127,,
129,nepali,Nepali,127,,
130,punjabi,Punjabi,127,,
131,sinhalese,Sinhalese,127,,
132,iranian_cluster,Iranian Cluster,122,,
133,kurdish,Kurdish,132,,
134,median,Median,132,,
135,parthian,Parthian,132,,
136,pashtun,Pashtun,132,,
137,persian,Persian,132,,
138,sogdian,Sogdian,132,,
139,tajik,Tajik,132,,
140,catalan,Catalan,142,,
141,french,French,142,,
142,romance_cluster,Romance Cluster,122,,
143,italian,Italian,142,,
144,norman,Norman,142,,
145,portuguese,Portuguese,142,,
146,romanian,Romanian,142,,
147,spanish,Spanish,142,,
148,belarusian,Belarusian,149,,
149,east_slavic,East Slavic,152,,
150,russian,Russian,149,,
151,ukrainian,Ukrainian,149,,
152,slavic_cluster,Slavic Cluster,122,,
153,bulgarian,Bulgarian,155,,
154,croatian,Croatian,155,,
155,south_slavic,South Slavic,152,,
156,macedonian,Macedonian,155,,
157,serbian,Serbian,155,,
158,slovenian,Slovenian,155,,
159,czech,Czech,160,,
160,west_slavic,West Slavic,152,,
161,polish,Polish,160,,
162,slovak,Slovak,160,,
163,celtic_peoples,Celtic peoples,167,,
164,galatian,Galatian,167,,
165,gaulish,Gaulish,167,,
166,germanic_tribes,Germanic tribes,167,,
167,ancient_european,Ancient European,182,,
168,scythian,Scythian,167,,
169,thracian,Thracian,167,,
170,etruscan,Etruscan,171,,
171,ancient_mediterranean,Ancient Mediterranean,182,,
172,minoan,Minoan,171,,
173,roman,Roman,171,,
174,akkadian,Akkadian,177,,
175,elamite,Elamite,177,,
176,hittite,Hittite,177,,
177,ancient_near_eastern,Ancient Near Eastern,182,,
178,sumerian,Sumerian,177,,
179,ainu,Ainu,180,,
180,extinct_modern_groups,Extinct Modern Groups,182,,
181,rapa_nui,Rapa Nui,180,,
182,historical_extinct_ethnic_groups,HISTORICAL & EXTINCT ETHNIC GROUPS,,,
183,berber_amazigh_cluster,Berber / Amazigh Cluster,197,,
184,kabyle,Kabyle,183,,
185,riffian,Riffian,183,,
186,tachelhit,Tachelhit,183,,
187,tuareg,Tuareg,183,,
188,zenata,Zenata,183,,
189,afar,Afar,191,,
190,beja,Beja,191,,
191,cushitic_cluster,Cushitic Cluster,197,,
192,oromo,Oromo,191,,
193,somali,Somali,191,,
194,egyptian,Egyptian,195,,
195,egyptian_cluster,Egyptian Cluster,197,,
196,nubian,Nubian,195,,
197,middle_eastern_north_african_bloc,MIDDLE EASTERN & NORTH AFRICAN BLOC,,,
198,akkadian,Akkadian,201,,
199,assyrian,Assyrian,201,,
200,babylonian,Babylonian,201,,
201,ancient_semitic_groups,Ancient Semitic Groups,204,,
202,phoenician,Phoenician,201,,
203,sumerian,Sumerian,201,,
204,semitic_cluster,Semitic Cluster,197,,
205,amhara,Amhara,208,,
206,arab,Arab,208,,
207,hebrew,Hebrew,208,,
208,modern_semitic_groups,Modern Semitic Groups,204,,
209,tigrayan,Tigrayan,208,,
210,dravidian_cluster,Dravidian Cluster,216,,
211,kannada,Kannada,210,,
212,malayalam,Malayalam,210,,
213,tamil,Tamil,210,,
214,telugu,Telugu,210,,
215,tulu,Tulu,210,,
216,south_asian,SOUTH ASIAN,,,
217,burmese,Burmese,218,,
218,tibeto_burman_cluster,Tibeto-Burman Cluster,216,,
219,sherpa,Sherpa,218,,
220,tibetan,Tibetan,218,,
221,aboriginal_australian,Aboriginal Australian,222,,
222,aboriginal_cluster,Aboriginal Cluster,232,,
223,torres_strait_islander,Torres Strait Islander,222,,
224,cebuano,Cebuano,227,,
225,filipino,Filipino,227,,
226,ilocano,Ilocano,227,,
227,austronesian_cluster,Austronesian Cluster,232,,
228,javanese,Javanese,227,,
229,malagasy,Malagasy,227,,
230,malay_indonesian,Malay / Indonesian,227,,
231,tagalog,Tagalog,227,,
232,southeast_asian_oceanic_bloc,SOUTHEAST ASIAN & OCEANIC BLOC,,,
233,oceanic_cluster,Oceanic Cluster,232,,
234,melanesian,Melanesian,233,,
235,micronesian,Micronesian,233,,
236,polynesian,Polynesian,233,,
237,bantoid_cluster,Bantoid Cluster,245,,
238,kikuyu,Kikuyu,237,,
239,lingala,Lingala,237,,
240,shona,Shona,237,,
241,sotho,Sotho,237,,
242,swahili,Swahili,237,,
243,tswana,Tswana,237,,
244,zulu,Zulu,237,,
245,sub_saharan_african_bloc,SUB-SAHARAN AFRICAN BLOC,,,
246,akan,Akan,249,,
247,ewe,Ewe,249,,
248,igbo,Igbo,249,,
249,kwa_guinea_cluster,Kwa / Guinea Cluster,245,,
250,yoruba,Yoruba,249,,
251,bambara_mandinka,Bambara / Mandinka,253,,
252,fula_fulani,Fula / Fulani,253,,
253,mande_cluster,Mande Cluster,245,,
254,wolof,Wolof,253,,
255,dinka,Dinka,256,,
256,nilotic_cluster,Nilotic Cluster,245,,
257,luo,Luo,256,,
258,maasai,Maasai,256,,
259,nuer,Nuer,256,,
260,other_sub_saharan_groups,Other Sub-Saharan Groups,245,,
261,khoekhoe,Khoekhoe,260,,
262,pygmy_peoples,Pygmy peoples,260,,
263,san,San,260,,
