id,old_id,name,parent_id,description,founded
78,hittite_religion,Hittite religion,79,,
79,ancient_near_eastern,Ancient Near Eastern,82,,
80,mesopotamian_religion,Mesopotamian religion,79,,
81,ugaritic_religion,Ugaritic religion,79,,
82,ancient_historical_religions,ANCIENT & HISTORICAL RELIGIONS,,,
83,ethiopian_indigenous_religion,Ethiopian indigenous religion,85,,
84,igbo_religion,Igbo religion,85,,
85,african_traditions,African Traditions,90,,
86,malagasy_religion,Malagasy religion,85,,
87,san_religion,San religion,85,,
88,yoruba_religion,Yoruba religion,85,,
89,zulu_spirituality,Zulu spirituality,85,,
90,animism_indigenous_traditions,ANIMISM & INDIGENOUS TRADITIONS,,,
91,amazonian_shamanism,Amazonian shamanism,93,,
92,andean_religion,Andean religion,93,,
93,indigenous_american_traditions,Indigenous American Traditions,90,,
94,mesoamerican_religion,Mesoamerican religion,93,,
95,native_american_spirituality,Native American spirituality,93,,
96,aboriginal_australian_spirituality,Aboriginal Australian spirituality,98,,
97,hawaiian_religion,Hawaiian religion,98,,
98,pacific_oceanic_traditions,Pacific & Oceanic Traditions,90,,
99,melanesian_religion,Melanesian religion,98,,
100,polynesian_religion,Polynesian religion,98,,
101,baltic_paganism,Baltic paganism,105,,
102,celtic_paganism,Celtic paganism,105,,
103,germanic_paganism,Germanic paganism,105,,
104,greek_paganism,Greek paganism,105,,
105,european_paganism,European Paganism,108,,
106,roman_paganism,Roman paganism,105,,
107,slavic_paganism,Slavic paganism,105,,
108,pagan_polytheistic_traditions,Pagan & Polytheistic Traditions,90,,
109,arabian_paganism,Arabian paganism,111,,
110,canaanite_religion,Canaanite religion,111,,
111,middle_eastern_north_african,Middle Eastern & North African,108,,
112,nabataean_paganism,Nabataean paganism,111,,
113,ainu_spirituality,Ainu spirituality,114,,
114,shamanic_spiritual_traditions,Shamanic & Spiritual Traditions,90,,
115,japanese_shinto,Japanese Shinto,114,,
116,korean_shamanism,Korean shamanism,114,,
117,manchu_shamanism,Manchu shamanism,114,,
118,tengrism,Tengrism,114,,
119,buddhism,Buddhism,153,,
120,east_asian_buddhism,East Asian Buddhism,121,,
121,mahayana_buddhism,Mahayana Buddhism,119,,
122,nichiren_buddhism,Nichiren Buddhism,121,,
123,pure_land_buddhism,Pure Land Buddhism,121,,
124,chan_zen_buddhism,Chan / Zen Buddhism,125,,
125,other_buddhist_schools,Other Buddhist Schools,119,,
126,japanese_buddhism,Japanese Buddhism,125,,
127,korean_buddhism,Korean Buddhism,125,,
128,vietnamese_buddhism,Vietnamese Buddhism,125,,
129,burmese_buddhism,Burmese Buddhism,132,,
130,cambodian_buddhism,Cambodian Buddhism,132,,
131,forest_tradition,Forest Tradition,132,,
132,theravada_buddhism,Theravada Buddhism,119,,
133,sri_lankan_buddhism,Sri Lankan Buddhism,132,,
134,thai_buddhism,Thai Buddhism,132,,
135,bon,Bon,137,,
136,gelug_school,Gelug School,137,,
137,vajrayana_buddhism,Vajrayana Buddhism,119,,
138,kagyu_school,Kagyu School,137,,
139,nyingma_school,Nyingma School,137,,
140,sakya_school,Sakya School,137,,
141,gaudiya_vaishnavism,Gaudiya Vaishnavism,142,,
142,denominations,Denominations,147,,
143,kashmir_shaivism,Kashmir Shaivism,142,,
144,sri_vaishnava,Sri Vaishnava,142,,
145,tantra,Tantra,142,,
146,vedanta,Vedanta,142,,
147,hinduism,Hinduism,153,,
148,major_traditions,Major Traditions,147,,
149,shaivism,Shaivism,148,,
150,shaktism,Shaktism,148,,
151,smartism,Smartism,148,,
152,vaishnavism,Vaishnavism,148,,
153,dharmic_religions,DHARMIC RELIGIONS,,,
154,digambara,Digambara,156,,
155,sky_clad_tradition,Sky-clad tradition,154,,
156,jainism,Jainism,153,,
157,shvetambara,Shvetambara,156,,
158,white_clad_tradition,White-clad tradition,157,,
159,bhakti_movements,Bhakti movements,161,,
160,dharma_traditions,Dharma traditions,161,,
161,other_dharmic_traditions,Other Dharmic Traditions,153,,
162,neo_hinduism,Neo-Hinduism,161,,
163,sikhism,Sikhism,153,,
164,confucian_canon,Confucian Canon,165,,
165,classical_confucianism,Classical Confucianism,170,,
166,east_asian_confucianism,East Asian Confucianism,170,,
167,japanese_confucianism,Japanese Confucianism,166,,
168,korean_confucianism,Korean Confucianism,166,,
169,vietnamese_confucianism,Vietnamese Confucianism,166,,
170,confucianism,Confucianism,174,,
171,neo_confucianism,Neo-Confucianism,170,,
172,school_of_mind,School of Mind,171,,
173,school_of_principle,School of Principle,171,,
174,east_asian_traditions,EAST ASIAN TRADITIONS,,,
175,chinese_folk_religion,Chinese folk religion,176,,
176,other_east_asian_traditions,Other East Asian Traditions,174,,
177,japanese_folk_religion,Japanese folk religion,176,,
178,korean_shamanism,Korean shamanism,176,,
179,legalism,Legalism,176,,
180,mohism,Mohism,176,,
181,shinto,Shinto,174,,
182,folk_shinto,Folk Shinto,183,,
183,shinto_traditions,Shinto Traditions,181,,
184,sectarian_shinto,Sectarian Shinto,183,,
185,shrine_shinto,Shrine Shinto,183,,
186,state_shinto,State Shinto,183,,
187,syncretic_traditions,Syncretic Traditions,181,,
188,neo_confucian_shinto,Neo-Confucian Shinto,187,,
189,shinto_buddhism_syncretism,Shinto-Buddhism syncretism,187,,
190,taoism_daoism,Taoism / Daoism,174,,
191,daodejing_tradition,Daodejing tradition,192,,
192,philosophical_taoism,Philosophical Taoism,190,,
193,chinese_folk_religion,Chinese folk religion,194,,
194,popular_religion,Popular Religion,190,,
195,syncretism_with_buddhism,Syncretism with Buddhism,194,,
196,celestial_masters,Celestial Masters,197,,
197,religious_taoism,Religious Taoism,190,,
198,quanzhen_school,Quanzhen School,197,,
199,zhengyi_school,Zhengyi School,197,,
200,iranian_traditions,IRANIAN TRADITIONS,,,
201,historical_religion_blending_zoroastrian_and_christian_elements,Historical religion blending Zoroastrian and Christian elements,212,,
202,manichaeism,Manichaeism,200,,
203,zoroastrianism,Zoroastrianism,200,,
204,hermeticism,Hermeticism,205,,
205,zoroastrian_offshoots,Zoroastrian Offshoots,203,,
206,zurvanism,Zurvanism,205,,
207,irani_zoroastrianism,Irani Zoroastrianism,203,,
208,parsi_zoroastrianism,Parsi Zoroastrianism,203,,
209,donatism,Donatism,211,,
210,gnosticism,Gnosticism,211,,
211,historical_sects,Historical Sects,215,,
212,manichaeism,Manichaeism,211,,
213,monophysitism,Monophysitism,211,,
214,nestorian_christianity,Nestorian Christianity,211,,
215,lesser_known_minority_traditions,LESSER-KNOWN & MINORITY TRADITIONS,,,
216,alawites,Alawites,218,,
217,druze,Druze,218,,
218,modern_minority_traditions,Modern Minority Traditions,215,,
219,mandaeanism,Mandaeanism,218,,
220,shabakism,Shabakism,218,,
221,yazidism,Yazidism,218,,
222,atheism_agnosticism,Atheism / Agnosticism,225,,
223,ethical_culture,Ethical Culture,225,,
224,humanism,Humanism,225,,
225,philosophical_secular_traditions,Philosophical & Secular Traditions,215,,
226,secular_buddhism,Secular Buddhism,225,,
227,bahá'í_faith,Bahá'í Faith,228,,
228,contemporary_movements,Contemporary Movements,233,,
229,nation_of_islam,Nation of Islam,228,,
230,new_age_spirituality,New Age spirituality,228,,
231,rastafarianism,Rastafarianism,228,,
232,unification_church,Unification Church,228,,
233,new_religious_movements_syncretic_traditions,NEW RELIGIOUS MOVEMENTS & SYNCRETIC TRADITIONS,,,
234,anthroposophy,Anthroposophy,236,,
235,heathenry,Heathenry,236,,
236,modern_spiritual_movements,Modern Spiritual Movements,233,,
237,new_thought,New Thought,236,,
238,spiritualism,Spiritualism,236,,
239,theosophy,Theosophy,236,,
240,wicca_modern_paganism,Wicca & Modern Paganism,236,,
241,candomblé,Candomblé,243,,
242,capoeira_spirituality,Capoeira spirituality,243,,
243,syncretic_hybrid_traditions,Syncretic & Hybrid Traditions,233,,
244,santeria,Santeria,243,,
245,umbanda,Umbanda,243,,
246,vodou_voodoo,Vodou / Voodoo,243,,
247,religious_syncretism_folk_practices,RELIGIOUS SYNCRETISM & FOLK PRACTICES,,,
248,african_diaspora_folk_traditions,African-diaspora folk traditions,251,,
249,chinese_folk_religion,Chinese folk religion,251,,
250,european_folk_christianity,European folk Christianity,251,,
251,popular_folk_religion,Popular & Folk Religion,247,,
252,japanese_folk_religion,Japanese folk religion,251,,
253,korean_folk_religion,Korean folk religion,251,,
254,vietnamese_folk_religion,Vietnamese folk religion,251,,
255,christian_folk_catholicism,Christian folk Catholicism,259,,
256,christian_indigenous_blends,Christian-Indigenous blends,259,,
257,confucian_folk_blends,Confucian-Folk blends,259,,
258,hindu_buddhism,Hindu-Buddhism,259,,
259,syncretic_blends,Syncretic Blends,247,,
260,islamic_folk_blends,Islamic-Folk blends,259,,
261,shinto_buddhism,Shinto-Buddhism,259,,
