entity_id,entity_type,canonical_name,panel_count,panels,source_labels
roman_republic,existing_polity,Roman Republic → Roman Empire (Illyricum / Epirus province),11,albania|croatia|france|germany|iberia|italy|low_countries|slovenia|anatolia|egypt|iraq,Roman Republic → Roman Empire (Illyricum / Epirus province) | Roman Republic (Illyrian Wars) | Roman Republic — Gallia Belgica | Roman Republic — Gallia Lugdunensis | Roman Republic — Narbonensis · Aquitania | Roman Republic — Belgica (east) | Roman Republic — Gallic Wars (Caesar) | Roman Republic — Lusitania (Sertorius revolt 80–72 BCE) | Roman Republic — Hispania Citerior | Roman Republic — Tarraconensis | Roman Republic — Hispania Ulterior | Roman Republic — Gallia Cisalpina | Roman Republic (heartland) | Roman Republic — Samnite Wars · Social War | Roman Republic — Sicilia Province | Roman Republic — Sardinia et Corsica | Roman Republic (Gallic Wars — Caesar) | Roman Republic → Roman Empire | Roman Republic · Empire | Roman Republic | Roman Republic (border campaigns)
seljuk_empire,existing_polity,Seljuk Empire (Herat — defeat of Ghaznavids),10,afghanistan|turkmenistan|uzbekistan|anatolia|arabia|armenia|azerbaijan|iraq|levant|iran,Seljuk Empire (Herat — defeat of Ghaznavids) | Seljuk Empire | Seljuk Empire (Kabul area) | Seljuk Empire (capital at Merv under Sultan Sanjar) | Seljuk · 1st Beyliks (Smyrna · Germiyan · Menteshe · Saruhan · Karasi · Hamid) | Seljuk · Rum Sultanate · Danishmend · Mengujek | Seljuk · 1st Beyliks (Shah-Armen · Saltuk · Artuqid) | Seljuk suzerainty (nominal) | Seljuk conquest — Ani falls | Seljuk suzerainty | Seljuk (Damascus)
soviet_union,existing_polity,Soviet Union,10,manchuria|mongolia|germany|poland|romania|russia|scandinavia|armenia|azerbaijan|georgia,Soviet Union | Former East Prussia: divided between Soviet Union (Kaliningrad) and Poland | Soviet occupation — Kresy (eastern Poland annexed to Belarusian/Ukrainian SSR) | Soviet Union — Moldavian SSR | Soviet Union — Leningrad (formerly St. Petersburg) | Soviet Union / Russian SFSR — Moscow capital | Soviet Union — Volga-Ural industrial region | Soviet Union — Gulag system · Siberian labour camps | Soviet Union — WWII (Great Patriotic War) | Soviet Union — Cold War · Space Race · Khrushchev Thaw | Cedes Karelia · Petsamo to Soviet Union | Transcaucasian SFSR | Armenian SSR | Azerbaijan SSR | Georgian SSR
nazi_germany,existing_polity,Nazi Germany — Reichskommissariat Ostland,10,baltic|belarus|czech_slovakia|germany|low_countries|poland|serbia|slovenia|switzerland_austria|ukraine,Nazi Germany — Reichskommissariat Ostland | Protectorate of Bohemia & Moravia (Nazi occupation) | Nazi Germany (Third Reich — Hitler) | Nazi Germany — Reichskommissariat Niederlande | Nazi Germany — Military Administration Belgium-Northern France | Nazi Germany — occupied Luxembourg | Nazi German occupation — Warthegau (annexed) · General Government | Nazi Germany — Military Government in Serbia | Nazi Germany — annexed to Reich (Lower Styria) | Anschluss — annexed by Nazi Germany | Nazi Germany — General Government / Distrikt Galizien | Nazi Germany — Reichskommissariat Ukraine | Nazi Germany occupation
seleucid_empire,existing_polity,Seleucid Empire (Aria province),9,afghanistan|anatolia|armenia|azerbaijan|iraq|levant|iran|india|pakistan,Seleucid Empire (Aria province) | Seleucid Empire | Seleucid → Greco-Bactrian | Seleucid Empire · Galatia · Paphlagonia | Seleucid suzerainty | Seleucid / Atropatenian suzerainty | Seleucid Empire (briefly)
timurid_empire,existing_polity,Timurid Empire (Herat — cultural golden age),9,afghanistan|kazakhstan|turkmenistan|uzbekistan|armenia|azerbaijan|iran|india|pakistan,Timurid Empire (Herat — cultural golden age) | Timurid Empire | Timurid / Mughal influence | Timurid Empire (southeastern) | Timurid fragmentation | Timurid Empire (capital: Samarkand) | Timurid Empire — Timur sacks Delhi (1398)
afsharid_dynasty,existing_polity,Afsharid dynasty (Nadir Shah reconquered Herat),9,afghanistan|turkmenistan|uzbekistan|armenia|azerbaijan|georgia|iran|india|pakistan,Afsharid dynasty (Nadir Shah reconquered Herat) | Afsharid dynasty (Nadir Shah defeated Hotakis) | Afsharid dynasty | Afsharid dynasty (Nadir Shah — reunited Merv) | Afsharid dynasty (suzerainty) | Afsharid suzerainty | Afsharid Dynasty | Afsharid — Nadir Shah sacks Delhi (1739) | Afsharid dynasty — Nadir Shah sacks Delhi (1739)
habsburg_monarchy,existing_polity,Habsburg — Pazin county,9,croatia|czech_slovakia|germany|hungary|low_countries|romania|serbia|slovenia|switzerland_austria,Habsburg — Pazin county | Habsburg — Pazin | Habsburg — Pazin area | Habsburg — reconquered (Treaty of Karlowitz 1699) | Habsburg → Austria-Hungary (Austrian Küstenland) | Habsburg Monarchy | Austrian Empire (president of Confederation) | Habsburg Kingdom of Hungary | Habsburg (Transylvania reintegrated) | Austrian Empire — Kingdom of Hungary | Habsburg Monarchy rule | Habsburg — Duchy of Bukovina | Habsburg Empire — Belgrade captured | Habsburg Empire (Treaty of Karlowitz 1699) | Habsburg Empire — Belgrade | Habsburg Empire — Vojvodina | Habsburg Empire | Habsburg Empire → Austria-Hungary | Habsburg (from 1335) | Habsburg — Pazin / inland Istria | Habsburg → Austria-Hungary (Austrian Littoral) | Habsburg dynasty takes Austria (Rudolf I) | Habsburg Empire (Maximilian I — 'the Last Knight') | Habsburg Monarchy — Austrian branch | Austrian Empire (proclaimed by Francis II) | Austrian Empire | Austria-Hungary (Dual Monarchy — Ausgleich)
safavid_empire,existing_polity,Safavid dynasty (Herat — major Safavid city),8,afghanistan|turkmenistan|arabia|armenia|azerbaijan|georgia|iraq|iran,Safavid dynasty (Herat — major Safavid city) | Safavid dynasty (disputed with Mughals) | Safavid dynasty (Merv contested with Khorasan) | Safavid dynasty | Safavid (Bahrain · Hormuz) | Safavid Persia (eastern Armenia) | Safavid Empire | Safavid Empire — Shirvanshah abolished | Safavid (Shirvan province restored) | Safavid–Ottoman frontier wars | Safavid (collapse)
avar_khaganate,existing_polity,Avar Khaganate,8,bosnia|croatia|czech_slovakia|hungary|romania|serbia|slovenia|switzerland_austria,Avar Khaganate | Avar Khaganate · South Slavic migration | Avar Khaganate (overlordship) | Avar Khaganate (Carpathian core) | Avar Khaganate (declining) · Vlachs | Lombard Kingdom → Avar Khaganate | Avar Khaganate (eastern frontier raids)
macedonian_empire,existing_polity,Alexander the Great (Alexandria in Aria),7,afghanistan|turkmenistan|uzbekistan|egypt|iraq|levant|iran,Alexander the Great (Alexandria in Aria) | Alexander — Alexandria Arachosia (Kandahar) | Alexander — Alexandria-on-the-Oxus (Balkh) | Alexander — Paropamisadae / Alexandria sub Caucaso | Alexander the Great · Seleucid | Argead dynasty — Alexander the Great · Diadochi | Macedonian Empire (Alexander) | Alexander / Diadochi | Macedonian / Diadochi
kushan_empire,existing_polity,Kushan Empire (origins here — Yuezhi chiefs),7,afghanistan|turkmenistan|uzbekistan|tibet|iran|india|pakistan,Kushan Empire (origins here — Yuezhi chiefs) | Kushan Empire | Kushan Empire (Bactrian heartland) | Kushan Empire (frontier influence) | Kushan / Saka | Kushan Empire (Mathura second capital) | Kushan Empire — Gandhara Buddhist art flourishes
ilkhanate,existing_polity,Il-Khanate (Herat under Kart as vassals),7,afghanistan|turkmenistan|armenia|azerbaijan|georgia|iraq|iran,Il-Khanate (Herat under Kart as vassals) | Il-Khanate | Ilkhanate
western_roman_empire,existing_polity,Western Roman Empire — decline,7,bosnia|france|germany|hungary|italy|low_countries|switzerland_austria,Western Roman Empire — decline | Western Roman Empire | Western Roman Empire (Rhineland) | Western Roman Empire (declining)
ayyubid_sultanate,existing_polity,Ayyubid Sultanate,7,arabia|egypt|iraq|levant|yemen|libya|sudan,Ayyubid Sultanate | Ayyubid suzerainty | Ayyubid Sultanate — Saladin; Crusader Wars | Ayyubid (Jazira) | Ayyubid | Ayyubid dynasty (Saladin's brother — conquers Yemen) | Ayyubid (partial) | Ayyubid → Mamluk dynasty (N. Sudan)
fatimid_caliphate,existing_polity,Fatimid Caliphate,7,arabia|egypt|levant|morocco|algeria|libya|tunisia,Fatimid Caliphate | Fatimid Caliphate — Cairo founded (969); Islamic Golden Age | Fatimid (nominal) | Fatimid suzerainty | Fatimid Caliphate (al-Mahdiyya)
parthian_empire,existing_polity,Parthian Empire (Aria satrapy),6,afghanistan|turkmenistan|arabia|azerbaijan|iraq|iran,Parthian Empire (Aria satrapy) | Parthian Empire (Aria) | Parthian Empire (Arsacid dynasty — from Nisa) | Parthian Empire | Parthian suzerainty | Parthian Empire (Ctesiphon)
tang_dynasty,existing_polity,Tang Dynasty / Anxi Protectorate (nominal),6,afghanistan|xinjiang|china|manchuria|mongolia|vietnam,"Tang Dynasty / Anxi Protectorate (nominal) | Tang tributary (Duolu/Nushibi Turks) | Tang Dynasty — Anxi Protectorate (安西都護府, garrison: Kashgar) | Tang Dynasty — Anxi Protectorate | Tang Dynasty (唐) | Tang | Tang — declining | Tang → regional Mohe chiefs | Tang (唐) | Tang dynasty (唐) | Tang dynasty — Giao Châu (An Nam đô hộ phủ)"
tahirid_dynasty,existing_polity,Tahirid dynasty,6,afghanistan|turkmenistan|uzbekistan|arabia|yemen|iran,Tahirid dynasty | Tahirid Dynasty
ghaznavid_empire,existing_polity,Ghaznavid dynasty,6,afghanistan|turkmenistan|uzbekistan|iran|india|pakistan,Ghaznavid dynasty | Ghaznavid dynasty (capital: Ghazni near here) | Ghaznavid dynasty (Ghazni capital) | Ghaznavid / Ghorid | Ghaznavid Empire | Ghaznavid / Ghurid | Ghaznavid Empire — Mahmud's 17 raids | Ghaznavid Empire — Mahmud's 17 raids into India
chagatai_khanate,existing_polity,Chagatai Khanate (southern Afghanistan),6,afghanistan|kazakhstan|uzbekistan|xinjiang|mongolia|pakistan,Chagatai Khanate (southern Afghanistan) | Chagatai Khanate (Transoxiana/Bactria) | Chagatai Khanate (Kabul area) | Chagatai Khanate / Moghulistan | Chagatai Khanate | Western Chagatai Khanate | Chagatai Khanate (eastern — Moghulistan) | Chagatai Khanate (eastern part) | Chagatai Khanate (察合台汗國) | Eastern Chagatai Khanate (incursions)
kara_koyunlu,existing_polity,Kara Koyunlu (Black Sheep — western fringe),6,turkmenistan|armenia|azerbaijan|georgia|iraq|iran,Kara Koyunlu (Black Sheep — western fringe) | Kara Koyunlu (Black Sheep) | Kara Koyunlu border raids | Kara Koyunlu | Kara Koyunlu · Ak Koyunlu
yuan_dynasty,existing_polity,Ogedei Khanate / Yuan Dynasty (Turfan),6,xinjiang|china|manchuria|mongolia|tibet|myanmar,Ogedei Khanate / Yuan Dynasty (Turfan) | Yuan Dynasty (元) — Kublai Khan | Yuan | Yuan — Liaoyang Province | Yuan — far north | Yuan dynasty (元) | Yuan dynasty | Yuan Empire — Xuanzheng Yuan (Bureau of Buddhist and Tibetan Affairs) | Yuan dynasty — Mien Province (brief Mongol intervention)
qing_dynasty,existing_polity,Qing Dynasty — Uyghur/Muslim Tarim Basin,6,xinjiang|china|korea|manchuria|mongolia|tibet,Qing Dynasty — Uyghur/Muslim Tarim Basin | Qing Dynasty (清) | Qing Dynasty | Qing → Russian sphere | Qing | Qing — declining | Qing → ROC | Qing dynasty (清) | Qing intervention — Amban system established | Tibet under Qing suzerainty | Tibet under Qing — Amban governance
ostrogothic_kingdom,existing_polity,Ostrogothic Kingdom,6,bosnia|croatia|hungary|italy|slovenia|switzerland_austria,Ostrogothic Kingdom | Ostrogothic Kingdom → Byzantine briefly | Ostrogothic Kingdom (Pannonia) | Ostrogothic Kingdom (Pavia) | Ostrogothic Kingdom (Ravenna capital) | Ostrogothic Kingdom (Sicily) | W. Roman → Visigoth transit → Ostrogothic Kingdom
holy_roman_empire,existing_polity,Holy Roman Empire,6,croatia|germany|italy|low_countries|slovenia|switzerland_austria,Holy Roman Empire | Holy Roman Empire — Habsburg era | Holy Roman Empire — Kingdom of Italy | Holy Roman Empire — German Kingdom | Holy Roman Empire — Duchy of Carniola | Holy Roman Empire — Duchy of Carinthia · Duchy of Styria | Holy Roman Empire dissolved (Francis abdicates as Emperor)
carolingian_empire,existing_polity,Frankish Kingdom — Merovingian dynasty,6,france|germany|italy|low_countries|slovenia|switzerland_austria,Frankish Kingdom — Merovingian dynasty | Frankish Kingdom — Merovingian (Neustria · Austrasia) | Frankish Kingdom — Carolingian dynasty | Carolingian Empire (Charlemagne) | Frankish Kingdom — Merovingian then Carolingian | Carolingian Empire (Kingdom of Italy) | Frankish Kingdom (Clovis I) | Frankish Kingdom (conquest of Frisia — Charles Martel · Boniface) | Carolingian Empire | Frankish Kingdom → East Frankish → HRE | Frankish Kingdom — Burgundy conquered | Frankish Kingdom — Alemannia conquered | Frankish Kingdom — Bavaria conquered
neo_assyrian_empire,existing_polity,Neo-Assyrian Empire,6,anatolia|arabia|egypt|iraq|levant|iran,Neo-Assyrian Empire | Assyrian Empire | Neo-Assyrian conquest
greco_bactrian_kingdom,existing_polity,Greco-Bactrian Kingdom (influence),5,afghanistan|turkmenistan|uzbekistan|iran|pakistan,Greco-Bactrian Kingdom (influence) | Greco-Bactrian Kingdom | Greco-Bactrian Kingdom (center — Bactra) | Greco-Bactrian Kingdom (Gandhara)
kidarites,existing_polity,Kidarites / Alchon Huns (Aria),5,afghanistan|turkmenistan|uzbekistan|india|pakistan,Kidarites / Alchon Huns (Aria) | Kidarites | Kidarites / Alchon Huns | Kidarites / Xionites | Kidarites (Hunnic)
hephthalites,existing_polity,Hephthalites,5,afghanistan|kazakhstan|turkmenistan|uzbekistan|xinjiang,Hephthalites | Hephthalites (eastern branch) | Hephthalites (eastern wing)
kushano_sasanian_kingdom,existing_polity,Kushano-Sasanian Kingdom (south),5,afghanistan|turkmenistan|uzbekistan|india|pakistan,Kushano-Sasanian Kingdom (south) | Kushano-Sasanian Kingdom | Kushano-Sasanian / Sassanid | Kushano-Sasanian (western frontier)
ghorid_dynasty,existing_polity,Ghorid dynasty,5,afghanistan|turkmenistan|iran|india|pakistan,Ghorid dynasty | Ghorid dynasty (Balkh capital at times) | Ghurid Sultanate | Ghorid Sultanate — Muhammad of Ghor | Ghorid Sultanate — Muhammad of Ghor conquers Punjab
khwarazmian_empire,existing_polity,Khwarazmian Empire,5,afghanistan|turkmenistan|uzbekistan|xinjiang|iran,Khwarazmian Empire | Khwarazmian Empire (Anushteginid) | Khwarazmian Empire (Anushteginid — capital: Urgench) | Khwarazmian Empire (brief)
xiongnu,existing_polity,Xiongnu Confederation (western fringe),5,kazakhstan|xinjiang|china|manchuria|mongolia,Xiongnu Confederation (western fringe) | Xiongnu Confederation | Yueban Kingdom (remnant Xiongnu) | Xiongnu (supreme after 176 BCE) | Xiongnu dominance (interlude) | Xiongnu (dominant in north) | Yueban (悅般 — Northern Xiongnu remnant) | Lushui Hu (盧水胡 — Xiongnu-related) | Xiongnu confederation forming | Xiongnu Empire (匈奴) | Xiongnu Empire | Xiongnu — split into Northern / Southern | Southern Xiongnu (vassals) | Northern Xiongnu → expelled westward | Xiongnu — from 209 BCE | Xiongnu forming | Northern Xiongnu (北匈奴) | Southern Xiongnu (南匈奴)
golden_horde,existing_polity,Golden Horde (Blue Horde — Ural),5,kazakhstan|uzbekistan|romania|russia|ukraine,Golden Horde (Blue Horde — Ural) | Golden Horde (White Horde — Aral) | Golden Horde (Kipchak Khanate) | Golden Horde (post-Mongol invasion) | Golden Horde suzerainty — 'Tatar Yoke' | Golden Horde — Sarai (capital on lower Volga) | Golden Horde → Kazan Khanate | Mongol Golden Horde suzerainty | Mongol Golden Horde | Mongol Golden Horde — Crimean ulus | Golden Horde disintegrating
aq_qoyunlu,existing_polity,Aq Qoyunlu (White Sheep — western fringe),5,turkmenistan|armenia|azerbaijan|georgia|iran,Aq Qoyunlu (White Sheep — western fringe) | Aq Qoyunlu (White Sheep) | Aq Qoyunlu
sui_dynasty,existing_polity,Sui Dynasty (tributary),5,xinjiang|china|manchuria|mongolia|vietnam,Sui Dynasty (tributary) | Sui Dynasty (隋) | Sui | Sui (隋) | Sui dynasty — Giao Châu
peoples_republic_of_china,existing_polity,PRC — Xinjiang Uyghur Autonomous Region (新疆维吾尔自治区),5,xinjiang|china|manchuria|mongolia|tibet,PRC — Xinjiang Uyghur Autonomous Region (新疆维吾尔自治区) | People's Republic of China (中华人民共和国) | PRC — Northeast Three Provinces | PRC (Jilin) | PRC — Inner Mongolia Autonomous Region | People's Republic of China | People's Republic of China (continuing)
ming_dynasty,existing_polity,Ming Dynasty (明),5,china|korea|manchuria|mongolia|vietnam,Ming Dynasty (明) | Ming Dynasty | Ming | Ming dynasty (明) | Ming dynasty — Giao Chỉ (Chinese occupation)
first_bulgarian_empire,existing_polity,First Bulgarian Empire,5,albania|bulgaria|north_macedonia|romania|serbia,First Bulgarian Empire | First Bulgarian Empire — Krum · Boris I · Simeon I | First Bulgarian Empire (partly) | vs First Bulgarian Empire · Frankish pressure
republic_of_venice,existing_polity,Venice — Durrës,5,albania|croatia|greece|italy|slovenia,Venice — Durrës | Venice (Durrës until 1501) | Venice — acquiring coastal towns | Venice — Dalmatian cities | Venice Republic (acquiring coastal towns) | Venice Republic (most of coast) | Venice Republic | Venice — Ionian Islands & Crete | Venice — Crete (until 1669) · Ionian Islands (until 1797) | Republic of Venice | Venice — Istrian coastal towns | Venice Republic (coast)
austria_hungary,existing_polity,Austria-Hungary / Italian occupation zones,5,albania|bosnia|croatia|serbia|slovenia,Austria-Hungary / Italian occupation zones | Austria-Hungary — Bosnia-Herzegovina Condominium | Austria-Hungary — Dalmatia crown land | Austria-Hungary — Vojvodina | Austria-Hungary — Duchy of Carniola (crown land)
