entity_id,entity_type,canonical_name,dynasty,panel_count,panels,source_labels
greco_bactrian_kingdom,existing_polity,Greco-Bactrian Kingdom,,8,afghanistan|turkmenistan|uzbekistan|iran|pakistan,Greco-Bactrian Kingdom (influence) | Greco-Bactrian Kingdom | Greco-Bactrian Kingdom (Gandhara)
parthian_empire,existing_polity,Parthian Empire,,9,afghanistan|turkmenistan|arabia|iraq|iran,Parthian Empire (Aria satrapy) | Parthian Empire (Aria) | Parthian Empire (Arsacid dynasty — from Nisa) | Parthian Empire | Parthian Empire (Ctesiphon)
alexander__alexandria_arachosia,regime,Alexander — Alexandria Arachosia (Kandahar),Alexandria Arachosia (Kandahar),1,afghanistan,Alexander — Alexandria Arachosia (Kandahar)
maurya_empire,existing_polity,Maurya Empire,,7,afghanistan|india|pakistan,Maurya Empire | Maurya Empire — Pataliputra capital · Chandragupta · Ashoka | Maurya Empire — Taxila as provincial capital
indo_greek_kingdom,existing_polity,Indo-Greek Kingdom,,6,afghanistan|india|pakistan,Indo-Greek Kingdom | Indo-Greek Kingdom (Menander I / Milinda) | Indo-Greek Kingdom (lower Sindh)
indo_scythian_kingdom,existing_polity,Indo-Scythian Kingdom,,1,afghanistan,Indo-Scythian Kingdom
alexander__alexandria_on_the_oxus,regime,Alexander — Alexandria-on-the-Oxus (Balkh),Alexandria-on-the-Oxus (Balkh),1,afghanistan,Alexander — Alexandria-on-the-Oxus (Balkh)
greco_bactrian_kingdom_center,existing_polity,Greco-Bactrian Kingdom (center,,1,afghanistan,Greco-Bactrian Kingdom (center — Bactra)
yuezhi_migration_through_bactria,event,Yuezhi migration through Bactria,,1,afghanistan,Yuezhi (Da Yuezhi) migration through Bactria
kushan_empire_origins_here,existing_polity,Kushan Empire (origins here,,1,afghanistan,Kushan Empire (origins here — Yuezhi chiefs)
alexander__paropamisadae_alexandria_sub_caucaso,regime,Alexander — Paropamisadae / Alexandria sub Caucaso,Paropamisadae / Alexandria sub Caucaso,1,afghanistan,Alexander — Paropamisadae / Alexandria sub Caucaso
indo_parthian_kingdom,existing_polity,Indo-Parthian Kingdom,,5,afghanistan|india|pakistan,Indo-Parthian Kingdom | Indo-Parthian Kingdom (Gondophares)
kushan_empire,existing_polity,Kushan Empire,,16,afghanistan|turkmenistan|uzbekistan|tibet|iran|india|pakistan,Kushan Empire | Kushan Empire (Bactrian heartland) | Kushan Empire (frontier influence) | Kushan Empire (Mathura second capital) | Kushan Empire — Gandhara Buddhist art flourishes
seleucid_greco_bactrian,event,Seleucid → Greco-Bactrian,,1,afghanistan,Seleucid → Greco-Bactrian
yuezhi_transit,people,Yuezhi transit,,1,afghanistan,Yuezhi transit
sassanid_empire,existing_polity,Sassanid Empire,,18,afghanistan|turkmenistan|uzbekistan|arabia|iraq|levant|iran|pakistan,Sassanid Empire | Sassanid (restored in Aria) | Sassanid (restored) | Sassanid (Sogdian city-states as vassals) | Sassanid Empire (Ctesiphon) | Sassanid | Sassanid Empire (western Sindh frontier) | Sassanid Empire (western influence)
kidarites_alchon_huns,people,Kidarites / Alchon Huns,,6,afghanistan|xinjiang,Kidarites / Alchon Huns (Aria) | Kidarites · Alchon Huns (Zabulistan) | Kidarites / Alchon Huns | Kidarites · Alchon Huns
hephthalites,people,Hephthalites,,14,afghanistan|kazakhstan|turkmenistan|uzbekistan|xinjiang|india,Hephthalites | Hephthalites (eastern branch) | Hephthalites (eastern wing) | Hephthalites — Alchon Huns (Toramana · Mihirakula)
kushano_sasanian_kingdom,existing_polity,Kushano-Sasanian Kingdom,,6,afghanistan|turkmenistan|india|pakistan,Kushano-Sasanian Kingdom (south) | Kushano-Sasanian Kingdom | Kushano-Sasanian (western frontier)
hephthalite_principalities,people,Hephthalite principalities,,1,afghanistan,Hephthalite principalities (Zabul / Zun cult)
kidarites,people,Kidarites,,4,afghanistan|india|pakistan,Kidarites | Kidarites (Hunnic)
first_turkic_empire,polity,First Türkic Empire,,2,afghanistan,First Türkic Empire (Tokharistan) | First Türkic Empire
nezak_huns,people,Nezak Huns,,2,afghanistan,Nezak Huns (brief) | Nezak Huns
rashidun_caliphate,existing_polity,Rashidun Caliphate,,16,afghanistan|turkmenistan|uzbekistan|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|algeria|libya|tunisia|iran|pakistan,Rashidun Caliphate (Herat conquered 651) | Rashidun Caliphate | Rashidun Caliphate (Arminiya) | Rashidun Caliphate (frontier raids)
umayyad_caliphate,existing_polity,Umayyad Caliphate,,20,afghanistan|turkmenistan|uzbekistan|iberia|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|morocco|algeria|libya|tunisia|iran|pakistan,Umayyad Caliphate | Umayyad Caliphate (Tokharistan) | Umayyad Caliphate (Transoxiana conquest) | Umayyad Caliphate (Al-Andalus) | Umayyad Caliphate (Arminiya) | Umayyad Caliphate (capital: Damascus) | Umayyad Caliphate — conquest of the Maghreb | Umayyad Caliphate — Sindh Province
zunbil_dynasty_zabulistan__resisted_arab_conquest_for_200_years,regime,Zunbil dynasty (Zabulistan — resisted Arab conquest for 200 years),resisted Arab conquest for 200 years),1,afghanistan,Zunbil dynasty (Zabulistan — resisted Arab conquest for 200 years)
tocharistan_yabgu,unclassified,Tocharistan Yabgu,,1,afghanistan,Tocharistan Yabgu (northern Kandahar fringe)
tocharistan_yabgu_state,polity,Tocharistan Yabgu state,,1,afghanistan,Tocharistan Yabgu state
rashidun_conquest,existing_polity,Rashidun conquest,,1,afghanistan,Rashidun conquest (Balkh 652)
turk_shahis,unclassified,Türk Shahis,,2,afghanistan|pakistan,Türk Shahis (Buddhist Kabul rulers) | Turk Shahis (Kabul & Gandhara)
tang_dynasty_anxi_protectorate,existing_polity,Tang Dynasty / Anxi Protectorate,,1,afghanistan,Tang Dynasty / Anxi Protectorate (nominal)
semi_independent_highland_principalities,unclassified,Semi-independent highland principalities,,1,afghanistan,Semi-independent highland principalities
abbasid_caliphate,existing_polity,Abbasid Caliphate,,21,afghanistan|turkmenistan|uzbekistan|arabia|armenia|azerbaijan|egypt|georgia|iraq|levant|libya|iran|pakistan,Abbasid Caliphate | Abbasid Caliphate (Arminiya) | Abbasid Caliphate (Islamic Golden Age · Samarra period) | Abbasid Caliphate (nominal · Baghdad) | Abbasid Caliphate (nominal) | Abbasid Caliphate — Sindh Province
tahirid_dynasty,regime,Tahirid dynasty,Tahirid dynasty,10,afghanistan|turkmenistan|uzbekistan|arabia|yemen|iran|pakistan,Tahirid dynasty | Tahirid Dynasty | Tahirid dynasty (nominal)
saffarid_dynasty_capital_zaranj,existing_polity,Saffarid dynasty (capital: Zaranj,,1,afghanistan,Saffarid dynasty (capital: Zaranj — rose from Sistan)
samanid_dynasty,regime,Samanid dynasty,Samanid dynasty,7,afghanistan|turkmenistan|uzbekistan,Samanid dynasty | Samanid dynasty (capital: Bukhara)
zunbil_dynasty,regime,Zunbil dynasty (finally conquered by Saffarids),Zunbil dynasty,2,afghanistan|india,Zunbil dynasty (finally conquered by Saffarids) | Zunbil dynasty (Zabulistan)
saffarid_dynasty,existing_polity,Saffarid dynasty,,8,afghanistan|turkmenistan|iran|pakistan,Saffarid dynasty | Saffarid Dynasty | Saffarid (remnant)
turk_shahis_hindu_shahis,event,Türk Shahis → Hindu Shahis,,2,afghanistan|pakistan,Türk Shahis → Hindu Shahis (drove out Türk Shahis) | Turk Shahis → Hindu Shahis (Gandhara)
second_turkic_empire,polity,Second Türkic Empire,,1,afghanistan,Second Türkic Empire (nominal suzerainty)
saffarid_samanid,regime,Saffarid · Samanid (western Kabul pressure),Saffarid · Samanid,1,afghanistan,Saffarid · Samanid (western Kabul pressure)
semi_independent_samanid_influence,regime,Semi-independent / Samanid influence,Semi-independent / Samanid influence,1,afghanistan,Semi-independent / Samanid influence
ghaznavid_dynasty,regime,Ghaznavid dynasty,Ghaznavid dynasty,7,afghanistan|turkmenistan|uzbekistan,Ghaznavid dynasty | Ghaznavid dynasty (capital: Ghazni near here) | Ghaznavid dynasty (Ghazni capital)
seljuk_empire_herat,existing_polity,Seljuk Empire (Herat,,1,afghanistan,Seljuk Empire (Herat — defeat of Ghaznavids)
ghorid_dynasty,existing_polity,Ghorid dynasty,,7,afghanistan|turkmenistan|india|pakistan,Ghorid dynasty | Ghorid dynasty (Balkh capital at times) | Ghorid Sultanate — Muhammad of Ghor | Ghorid Sultanate — Muhammad of Ghor conquers Punjab
khwarazmian_empire,existing_polity,Khwarazmian Empire,,9,afghanistan|turkmenistan|uzbekistan|xinjiang|iran,Khwarazmian Empire | Khwarazmian Empire (Anushteginid) | Khwarazmian Empire (brief)
seljuk_empire,existing_polity,Seljuk Empire,,15,afghanistan|turkmenistan|uzbekistan|azerbaijan|iraq|levant|iran,Seljuk Empire | Seljuk Empire (Kabul area) | Seljuk Empire (capital at Merv under Sultan Sanjar) | Seljuk (Damascus)
hindu_shahis,unclassified,Hindu Shahis,,2,afghanistan|india,Hindu Shahis (eastern reaches to 1026) | Hindu Shahis (NW India & Gandhara)
ghaznavid_ghorid,regime,Ghaznavid / Ghorid,Ghaznavid / Ghorid,1,afghanistan,Ghaznavid / Ghorid
mongol_empire,existing_polity,Mongol Empire,,23,afghanistan|kazakhstan|turkmenistan|uzbekistan|xinjiang|china|manchuria|mongolia|armenia|azerbaijan|iran|pakistan,Mongol Empire (Herat sacked 1221; rebuilt) | Mongol Empire | Mongol Empire — Chagatai Khanate | Mongol Empire — Ogedei Khanate | Mongol Empire — Genghis Khan | Mongol Empire (大蒙古国) | Mongol Empire — western invasion | Mongol Empire — northern front | Mongol Empire (蒙古帝國) | Mongol Empire — invasions repelled
kart_dynasty,regime,Kart dynasty (local Persian rulers under Mongol suzerainty),Kart dynasty,2,afghanistan|pakistan,Kart dynasty (local Persian rulers under Mongol suzerainty) | Kart dynasty (Gandhara periphery)
il_khanate,polity,Il-Khanate,,5,afghanistan|turkmenistan|iraq,Il-Khanate (Herat under Kart as vassals) | Il-Khanate
timurid_empire_herat,existing_polity,Timurid Empire (Herat,,1,afghanistan,Timurid Empire (Herat — cultural golden age)
chagatai_khanate,existing_polity,Chagatai Khanate,,7,afghanistan|uzbekistan|xinjiang|mongolia,Chagatai Khanate (southern Afghanistan) | Chagatai Khanate (Transoxiana/Bactria) | Chagatai Khanate (Kabul area) | Chagatai Khanate | Chagatai Khanate (eastern part) | Chagatai Khanate (察合台汗國)
delhi_sultanate,existing_polity,Delhi Sultanate,,14,afghanistan|india|pakistan,Delhi Sultanate — Khalji / Tughluq (raids) | Delhi Sultanate — Slave · Khalji · Tughluq · Sayyid · Lodi (Kabul contested) | Delhi Sultanate (Mamluk / Slave dynasty) | Delhi Sultanate (Khalji dynasty) — Alauddin Khalji · Malik Kafur raids Deccan & South | Delhi Sultanate — Khalji conquests in Deccan | Delhi Sultanate (Tughluq dynasty) | Delhi Sultanate (Sayyid dynasty) | Delhi Sultanate (Tughluq) | Delhi Sultanate (Lodi dynasty) | Delhi Sultanate (Khalji dynasty)
timurid_empire,existing_polity,Timurid Empire,,18,afghanistan|kazakhstan|turkmenistan|uzbekistan|armenia|azerbaijan|iran|india|pakistan,Timurid Empire | Timurid Empire (southeastern) | Timurid Empire (capital: Samarkand) | Timurid Empire — Timur sacks Delhi (1398)
mongol_empire_balkh_destroyed_1220,existing_polity,Mongol Empire (Balkh destroyed 1220,,1,afghanistan,Mongol Empire (Balkh destroyed 1220 — 'Mother of Cities' never fully recovered)
mongol_empire_il_khanate_chagatai,existing_polity,Mongol Empire → Il-Khanate → Chagatai,,1,afghanistan,Mongol Empire → Il-Khanate → Chagatai
safavid_dynasty_herat__major_safavid_city,regime,Safavid dynasty (Herat — major Safavid city),major Safavid city),1,afghanistan,Safavid dynasty (Herat — major Safavid city)
afsharid_dynasty,existing_polity,Afsharid dynasty,,13,afghanistan|turkmenistan|uzbekistan|iran|india|pakistan,Afsharid dynasty (Nadir Shah reconquered Herat) | Afsharid dynasty (Nadir Shah defeated Hotakis) | Afsharid dynasty | Afsharid dynasty (suzerainty) | Afsharid Dynasty | Afsharid — Nadir Shah sacks Delhi (1739) | Afsharid dynasty — Nadir Shah sacks Delhi (1739)
durrani_empire_ahmad_shah,existing_polity,Durrani Empire (Ahmad Shah,,1,afghanistan,Durrani Empire (Ahmad Shah — Afghan unification)
safavid_dynasty,regime,Safavid dynasty (disputed with Mughals),Safavid dynasty,3,afghanistan|turkmenistan,Safavid dynasty (disputed with Mughals) | Safavid dynasty (Merv contested with Khorasan) | Safavid dynasty
hotak_dynasty_ghilzai_pashtun,existing_polity,Hotak dynasty (Ghilzai Pashtun,,1,afghanistan,Hotak dynasty (Ghilzai Pashtun — founded in Kandahar)
durrani_empire,existing_polity,Durrani Empire,,8,afghanistan|iran|india|pakistan,Durrani Empire (original Durrani capital) | Durrani Empire | Durrani Empire (capital moved to Kabul 1776) | Durrani Empire (Punjab raids · Battle of Panipat 1761) | Durrani Empire — Punjab as Afghan territory | Durrani Empire — Kashmir
bukhara_khanate,polity,Bukhara Khanate,,2,afghanistan,Bukhara Khanate (Uzbek control of Balkh) | Bukhara Khanate (recaptured)
mughal_empire,existing_polity,Mughal Empire,,9,afghanistan|india|pakistan,Mughal Empire (Shah Jahan conquered Balkh 1646) | Mughal Empire — Akbar the Great | Mughal Empire — Bengal Subah | Mughal Empire — Jahangir · Shah Jahan · Aurangzeb | Mughal Empire (crumbling) | Mughal Empire (nominal) | Mughal Empire — Sindh Subah | Mughal Empire — Punjab & Lahore Subah | Mughal Empire — Kashmir Subah
mughal_empire_babur,existing_polity,Mughal Empire (Babur,,1,afghanistan,Mughal Empire (Babur — Kabul capital 1504)
hotak_dynasty,existing_polity,Hotak dynasty,,2,afghanistan|pakistan,Hotak dynasty (briefly held Kabul) | Hotak dynasty (invasion of Punjab)
timurid_mughal_influence,regime,Timurid / Mughal influence,Timurid / Mughal influence,1,afghanistan,Timurid / Mughal influence
herat_emirate,regime,Herat Emirate (Sadozai / Kuhzad),Herat Emirate,1,afghanistan,Herat Emirate (Sadozai / Kuhzad)
kandahar_emirate,regime,Kandahar Emirate (Sadozai / Barakzai),Kandahar Emirate,1,afghanistan,Kandahar Emirate (Sadozai / Barakzai)
maimana_khanate_kunduz_khanate,polity,Maimana Khanate · Kunduz Khanate,,1,afghanistan,Maimana Khanate · Kunduz Khanate
kabul_emirate_emirate_of_afghanistan,regime,Kabul Emirate (Barakzai) → Emirate of Afghanistan,Kabul Emirate → Emirate of Afghanistan,1,afghanistan,Kabul Emirate (Barakzai) → Emirate of Afghanistan
anglo_afghan_wars_great_game,event,Anglo-Afghan Wars · Great Game,,1,afghanistan,Anglo-Afghan Wars (1st · 2nd · 3rd) · Great Game
semi_autonomous_principality_emirate_of_afghanistan,polity,Semi-autonomous principality → Emirate of Afghanistan,,1,afghanistan,Semi-autonomous principality → Emirate of Afghanistan
kingdom_of_afghanistan,polity,Kingdom of Afghanistan,,1,afghanistan,Kingdom of Afghanistan
republic_of_afghanistan,polity,Republic of Afghanistan,,1,afghanistan,Republic of Afghanistan (Daoud Khan)
democratic_republic_of_afghanistan,polity,Democratic Republic of Afghanistan,,1,afghanistan,Democratic Republic of Afghanistan (PDPA)
soviet_afghan_war,event,Soviet-Afghan War,,1,afghanistan,Soviet-Afghan War
islamic_state_of_afghanistan,polity,Islamic State of Afghanistan,,1,afghanistan,Islamic State of Afghanistan (Mujahedeen government)
northern_alliance_stronghold_herat,unclassified,Northern Alliance stronghold (Herat,,1,afghanistan,Northern Alliance stronghold (Herat — Ismail Khan)
taliban_first_emirate,polity,Taliban First Emirate,,1,afghanistan,Taliban First Emirate
northern_alliance_balkh,unclassified,Northern Alliance (Balkh,,1,afghanistan,Northern Alliance (Balkh — General Dostum base)
us_led_coalition_nato,unclassified,US-led coalition / NATO,,1,afghanistan,US-led coalition / NATO (ISAF)
islamic_republic_of_afghanistan,polity,Islamic Republic of Afghanistan,,1,afghanistan,Islamic Republic of Afghanistan (US-backed)
taliban_second_emirate,polity,Taliban Second Emirate,,1,afghanistan,Taliban Second Emirate
yamna_culture,culture,Yamna culture,,1,kazakhstan,Yamna culture (Pontic–Caspian steppe)
abashevo_culture,culture,Abashevo culture,,1,kazakhstan,Abashevo culture
sintashta,unclassified,Sintashta,,1,kazakhstan,Sintashta (earliest chariots)
kelteminar_culture,culture,Kelteminar culture,,3,kazakhstan|uzbekistan,Kelteminar culture
yamna_early_pastoral_cultures,people,Yamna / early pastoral cultures,,1,kazakhstan,Yamna / early pastoral cultures
andronovo_culture,culture,Andronovo culture,,5,kazakhstan|uzbekistan,Andronovo culture
botai_culture,culture,Botai culture,,1,kazakhstan,Botai culture (horse domestication)
afanasievo_culture,culture,Afanasievo culture,,2,kazakhstan|uzbekistan,Afanasievo culture
srubnaya_culture,culture,Srubnaya culture,,2,kazakhstan,Srubnaya (Timber Grave) culture | Srubnaya culture
proto_scythian_cultures,people,Proto-Scythian cultures,,1,kazakhstan,Proto-Scythian cultures
cimmerian_early_saka,people,Cimmerian / early Saka,,1,kazakhstan,Cimmerian / early Saka
andronovo_alakul_culture,culture,Andronovo → Alakul culture,,1,kazakhstan,Andronovo → Alakul culture
saka_nomads,people,Saka nomads,,1,kazakhstan,Saka nomads (early)
begazy_dandybai_culture,culture,Begazy–Dandybai culture,,1,kazakhstan,Begazy–Dandybai culture
tasmola_culture,culture,Tasmola culture,,1,kazakhstan,Tasmola culture
karasuk_culture,culture,Karasuk culture,,1,kazakhstan,Karasuk culture
pazyryk_culture,culture,Pazyryk culture,,1,kazakhstan,Pazyryk culture (Altai)
royal_scythians,people,Royal Scythians,,1,kazakhstan,Royal Scythians (Pontic)
early_sarmatians,people,Early Sarmatians,,1,kazakhstan,Early Sarmatians
saka_massagetae,unclassified,Saka · Massagetae,,2,kazakhstan|turkmenistan,Saka · Massagetae (Caspian steppe) | Saka / Massagetae
massagetae,unclassified,Massagetae,,1,kazakhstan,Massagetae (near Aral Sea)
dahae,people,Dahae,,1,kazakhstan,Dahae
saka_of_the_central_steppe,unclassified,Saka of the central steppe,,1,kazakhstan,Saka of the central steppe
saka_tigrakhauda,unclassified,Saka Tigrakhauda,,1,kazakhstan,Saka Tigrakhauda (Pointed-hat Saka)
pazyryk_wusun,people,Pazyryk / Wusun,,1,kazakhstan,Pazyryk / Wusun (Zhetysu)
sarmatians,people,Sarmatians,,1,kazakhstan,Sarmatians (Roxolani · Alans)
alans,people,Alans,,2,kazakhstan,Alans (Caspian Sarmatians) | Alans (remnants)
kangju_kingdom,polity,Kangju Kingdom,,1,kazakhstan,Kangju Kingdom
yuezhi,event,Yuezhi,,5,kazakhstan|turkmenistan|uzbekistan|xinjiang|mongolia,Yuezhi (before westward migration) | Yuezhi (Da Yuezhi) | Yuezhi (before westward migration 176 BCE) | Yuezhi (月氏)
xiongnu,existing_polity,Xiongnu Confederation,,10,kazakhstan|xinjiang|china|manchuria|mongolia,Xiongnu Confederation (western fringe) | Xiongnu Confederation | Xiongnu (supreme after 176 BCE) | Xiongnu (dominant in north) | Xiongnu Empire (匈奴) | Xiongnu Empire | Xiongnu — split into Northern / Southern | Xiongnu — from 209 BCE
wusun_confederation,polity,Wusun confederation,,1,kazakhstan,Wusun confederation (Zhetysu)
hunnic_empire,existing_polity,Hunnic Empire,,3,kazakhstan|hungary,Hunnic Empire | Hunnic Empire (capital near Tisza)
onogur_nomads,people,Onogur nomads,,1,kazakhstan,Onogur nomads (proto-Bulgar groups)
yueban_kingdom,existing_polity,Yueban Kingdom,,1,kazakhstan,Yueban Kingdom (remnant Xiongnu)
rouran_khaganate,polity,Rouran Khaganate,,5,kazakhstan|xinjiang|china|mongolia,Rouran Khaganate (suzerainty) | Rouran Khaganate | Rouran Khaganate (柔然)
goktürk_khaganate,existing_polity,Göktürk Khaganate,,6,kazakhstan|china|iran,Göktürk Khaganate (Western wing) | Göktürk Khaganate | Göktürk Khaganate (Eastern · Western)
turgesh_khaganate,polity,Turgesh Khaganate,,3,kazakhstan|uzbekistan|xinjiang,Turgesh Khaganate | Turgesh Khaganate (Ili Valley)
western_turkic,people,Western Turkic,,1,kazakhstan,Western Turkic (Nushibi wing)
khazar_khaganate,existing_polity,Khazar Khaganate,,4,kazakhstan|russia|ukraine|georgia,Khazar Khaganate | Khazar Khaganate (south steppe) | Khazar Khaganate (partly) | Khazar Khaganate — raids
oghuz_yabgu_state,polity,Oghuz Yabgu State,,2,kazakhstan,Oghuz Yabgu State (Syr Darya) | Oghuz Yabgu State (declining)
kangars_pecheneg_confederation,polity,Kangars / Pecheneg confederation,,1,kazakhstan,Kangars / Pecheneg confederation
kimek_kipchak_confederation,polity,Kimek–Kipchak confederation,,2,kazakhstan,Kimek–Kipchak confederation
uyghur_khaganate,existing_polity,Uyghur Khaganate,,6,kazakhstan|xinjiang|china|mongolia,Uyghur Khaganate (suzerainty) | Uyghur Khaganate | Uyghur Khaganate (Orkhon heartland / reach here) | Uyghur Khaganate (回鹘) | Uyghur Khaganate (回鶻)
karluk_khaganate,polity,Karluk Khaganate,,1,kazakhstan,Karluk Khaganate (Zhetysu)
pechenegs,event,Pechenegs,,3,kazakhstan|romania|ukraine,Pechenegs (origin here → move west) | Pechenegs (from c.895 CE) | Pechenegs (from c.900)
cuman_kipchak,people,Cuman–Kipchak,,3,kazakhstan,Cuman–Kipchak (Desht-i-Kipchak) | Cuman–Kipchak
oghuz,people,Oghuz,,1,kazakhstan,Oghuz (moving west toward Pontic)
kara_khanid_khanate,existing_polity,Kara-Khanid Khanate,,7,kazakhstan|turkmenistan|uzbekistan|xinjiang,Kara-Khanid Khanate (Zhetysu) | Kara-Khanid (eastern fringe) | Kara-Khanid Khanate | Kara-Khanid Khanate (eastern wing) | Kara-Khanid (northern fringe)
qara_khitai,existing_polity,Qara Khitai,,6,kazakhstan|uzbekistan|xinjiang,Qara Khitai (Western Liao) | Qara Khitai / Western Liao
golden_horde_blue_horde,existing_polity,Golden Horde (Blue Horde,,1,kazakhstan,Golden Horde (Blue Horde — Ural)
golden_horde_white_horde,existing_polity,Golden Horde (White Horde,,1,kazakhstan,Golden Horde (White Horde — Aral)
chagatai_khanate_moghulistan,existing_polity,Chagatai Khanate / Moghulistan,,1,kazakhstan,Chagatai Khanate / Moghulistan
nogai_horde,people,Nogai Horde,,1,kazakhstan,Nogai Horde
uzbek_shaybanid_khanate,polity,Uzbek / Shaybanid Khanate,,1,kazakhstan,Uzbek / Shaybanid Khanate (transitional)
kazakh_khanate,existing_polity,Kazakh Khanate,,4,kazakhstan|xinjiang,Kazakh Khanate (Small Zhuz) | Kazakh Khanate (Middle Zhuz) | Kazakh Khanate (Great Zhuz) | Kazakh Khanate (northwestern range)
dzungar_khanate_pressure,existing_polity,Dzungar Khanate pressure,,1,kazakhstan,Dzungar Khanate pressure
