id,name,civilization_id,id_ruling_ethnicity,id_ruling_language,id_ruling_religion,government,territories,start_year,end_year,policies,note
homo_sapiens_migration,Homo Sapiens Migration,,,,,,khorasan|gaul|anatolia|transoxiana|central_asian_steppe|italy|iberia|germany|britannia|scandinavia|balkans|hungary|poland|mesopotamia|levant|arabia|caucasus|egypt,50,,,Stub generated from afghanistan panel; appears in 3 panel(s); needs P6.1 enrichment
old_assyrian_colonies,Old Assyrian Colonies,,,,,,anatolia|mesopotamia|levant|arabia|caucasus|egypt,-1950,-1750,,Stub generated from anatolia panel; appears in 2 panel(s); needs P6.1 enrichment
kongo_kingdom,Kongo Kingdom,,,,,monarchy,,1390,1914,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
kuba_kingdom,Kuba Kingdom,,,,,monarchy,,1625,1900,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
luba_kingdom,Luba Kingdom,,,,,monarchy,,1585,1889,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
great_lakes_chiefdoms,Great Lakes Chiefdoms,,,,,,,,,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
lunda_kingdom,Lunda Kingdom,,,,,monarchy,,1665,1887,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
arab_swahili_trade,Arab Swahili Trade,,,,,,,,,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
international_african_association,International African Association,,,,,,,1876,,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
international_association_congo,International Association Congo,,,,,,,1879,1885,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
congo_free_state,Congo Free State,,,,,,,1885,1908,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
belgian_congo,Belgian Congo,,,,,,,1908,1960,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
republic_of_congo,Republic Of Congo,,,,,,,1960,1964,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
drc,Drc,,,,,,,1964,1971,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
zaire,Zaire,,,,,,,1971,1997,,Stub generated from congo panel; appears in 1 panel(s); needs P6.1 enrichment
mundigak,Mundigak,,,,,,khorasan|transoxiana|central_asian_steppe,-3000,-2000,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
aryan_migration,Aryan Migration,,,,,,khorasan|transoxiana|central_asian_steppe,-2000,-1500,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
shortugai,Shortugai,,,,,,khorasan|transoxiana|central_asian_steppe,-2200,-1800,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
aryan_migrations,Aryan Migrations,,,,,,khorasan|transoxiana|central_asian_steppe,-2000,-1500,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
indus_valley_contacts,Indus Valley Contacts,,,,,,khorasan|transoxiana|central_asian_steppe,-2500,-1700,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
east_iranian_peoples,East Iranian Peoples,,,,,,khorasan|transoxiana|central_asian_steppe,-1500,-700,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
gandara_kamboja,Gandara Kamboja,,,,,,khorasan|transoxiana|central_asian_steppe,-1200,-550,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
bactrian_pastoralists,Bactrian Pastoralists,,,,,,khorasan|transoxiana|central_asian_steppe,-1500,-700,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
central_asian_nomadic_groups,Central Asian Nomadic Groups,,,,,,khorasan|transoxiana|central_asian_steppe,-1000,-600,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
east_iranian_highland_peoples,East Iranian Highland Peoples,,,,,,khorasan|transoxiana|central_asian_steppe,-1500,,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
nuristani,Nuristani,,,,,,khorasan|transoxiana|central_asian_steppe,-1000,,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
yuezhi_transit,Yuezhi Transit,,,,,,khorasan|transoxiana|central_asian_steppe,-130,,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
hephthalite_principalities,Hephthalite Principalities,,,,,,khorasan|transoxiana|central_asian_steppe,450,565,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
tocharistan_yabgu_state,Tocharistan Yabgu State,,,,,,khorasan|transoxiana|central_asian_steppe,625,738,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
semi_independent_highland_principalities,Semi Independent Highland Principalities,,,,,,khorasan|transoxiana|central_asian_steppe,,,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
saffarid_samanid,Saffarid Samanid,,,,,,khorasan|transoxiana|central_asian_steppe,,,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
bukhara_khanate,Bukhara Khanate,,,,,khanate,khorasan|transoxiana|central_asian_steppe,1500,1646,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
herat_emirate,Herat Emirate,,,,,,khorasan|transoxiana|central_asian_steppe,1818,1863,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
kandahar_emirate,Kandahar Emirate,,,,,,khorasan|transoxiana|central_asian_steppe,1818,1855,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
maimana_khanate,Maimana Khanate,,,,,khanate,khorasan|transoxiana|central_asian_steppe,1818,1850,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
kingdom_of_afghanistan,Kingdom Of Afghanistan,,,,,,khorasan|transoxiana|central_asian_steppe,1919,1973,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
republic_of_afghanistan,Republic Of Afghanistan,,,,,,khorasan|transoxiana|central_asian_steppe,1973,1978,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
democratic_republic_of_afghanistan,Democratic Republic Of Afghanistan,,,,,,khorasan|transoxiana|central_asian_steppe,1978,1992,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
islamic_state_of_afghanistan,Islamic State Of Afghanistan,,,,,,khorasan|transoxiana|central_asian_steppe,1992,1996,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
northern_alliance_stronghold,Northern Alliance Stronghold,,,,,,khorasan|transoxiana|central_asian_steppe,1992,1995,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
taliban_first_emirate,Taliban First Emirate,,,,,,khorasan|transoxiana|central_asian_steppe,1996,2001,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
northern_alliance,Northern Alliance,,,,,,khorasan|transoxiana|central_asian_steppe,1992,2001,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
us_led_coalition,Us Led Coalition,,,,,,khorasan|transoxiana|central_asian_steppe,2001,2021,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
islamic_republic_of_afghanistan,Islamic Republic Of Afghanistan,,,,,,khorasan|transoxiana|central_asian_steppe,2004,2021,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
taliban_second_emirate,Taliban Second Emirate,,,,,,khorasan|transoxiana|central_asian_steppe,2021,,,Stub generated from afghanistan panel; appears in 1 panel(s); needs P6.1 enrichment
sintashta,Sintashta,,,,,,central_asian_steppe|transoxiana|khorasan,-2100,-1800,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
cimmerian,Cimmerian,,,,,,central_asian_steppe|transoxiana|khorasan,-1000,-700,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
saka_nomads,Saka Nomads,,,,,,central_asian_steppe|transoxiana|khorasan,-1000,-700,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
royal_scythians,Royal Scythians,,,,,,central_asian_steppe|transoxiana|khorasan,-700,-200,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
early_sarmatians,Early Sarmatians,,,,,,central_asian_steppe|transoxiana|khorasan,-500,,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
saka_massagetae,Saka Massagetae,,,,,,central_asian_steppe|transoxiana|khorasan,-700,-200,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
massagetae,Massagetae,,,,,,central_asian_steppe|transoxiana|khorasan,-700,-200,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
saka_of_the_central_steppe,Saka Of The Central Steppe,,,,,,central_asian_steppe|transoxiana|khorasan,-700,-200,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
saka_tigrakhauda,Saka Tigrakhauda,,,,,,central_asian_steppe|transoxiana|khorasan,-700,-200,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
pazyryk,Pazyryk,,,,,,central_asian_steppe|transoxiana|khorasan,-500,-100,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
sarmatians,Sarmatians,,,,,,central_asian_steppe|transoxiana|khorasan,-300,350,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
alans,Alans,,,,,,central_asian_steppe|transoxiana|khorasan,100,370,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
kangju_kingdom,Kangju Kingdom,,,,,monarchy,central_asian_steppe|transoxiana|khorasan,-250,350,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
wusun_confederation,Wusun Confederation,,,,,,central_asian_steppe|transoxiana|khorasan,,,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
onogur_nomads,Onogur Nomads,,,,,,central_asian_steppe|transoxiana|khorasan,400,650,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
western_turkic,Western Turkic,,,,,,central_asian_steppe|transoxiana|khorasan,603,659,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
oghuz_yabgu_state,Oghuz Yabgu State,,,,,,central_asian_steppe|transoxiana|khorasan,750,1055,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
kangars,Kangars,,,,,,central_asian_steppe|transoxiana|khorasan,750,900,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
kimek_kipchak_confederation,Kimek Kipchak Confederation,,,,,,central_asian_steppe|transoxiana|khorasan,750,1220,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
karluk_khaganate,Karluk Khaganate,,,,,khanate,central_asian_steppe|transoxiana|khorasan,766,940,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
cuman_kipchak,Cuman Kipchak,,,,,,central_asian_steppe|transoxiana|khorasan,1050,1220,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
oghuz,Oghuz,,,,,,central_asian_steppe|transoxiana|khorasan,900,1050,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
nogai_horde,Nogai Horde,,,,,,central_asian_steppe|transoxiana|khorasan,1440,1634,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
uzbek,Uzbek,,,,,,central_asian_steppe|transoxiana|khorasan,1428,1510,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
bukei_khanate,Bukei Khanate,,,,,khanate,central_asian_steppe|transoxiana|khorasan,1801,1845,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
alash_autonomy,Alash Autonomy,,,,,,central_asian_steppe|transoxiana|khorasan,1917,1920,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
kyrgyz_kazakh_assr,Kyrgyz Kazakh Assr,,,,,,central_asian_steppe|transoxiana|khorasan,1920,1925,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
kazakh_soviet_socialist_republic,Kazakh Soviet Socialist Republic,,,,,republic,central_asian_steppe|transoxiana|khorasan,1936,1991,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
republic_of_kazakhstan,Republic Of Kazakhstan,,,,,,central_asian_steppe|transoxiana|khorasan,1991,,,Stub generated from kazakhstan panel; appears in 1 panel(s); needs P6.1 enrichment
togha_temur,Togha Temur,,,,,,transoxiana|central_asian_steppe|khorasan,1337,1381,,Stub generated from turkmenistan panel; appears in 1 panel(s); needs P6.1 enrichment
kart_dynasty,Kart Dynasty,,,,,monarchy,transoxiana|central_asian_steppe|khorasan,1337,1381,,Stub generated from turkmenistan panel; appears in 1 panel(s); needs P6.1 enrichment
turkmen_tekke,Turkmen Tekke,,,,,,transoxiana|central_asian_steppe|khorasan,,,,Stub generated from turkmenistan panel; appears in 1 panel(s); needs P6.1 enrichment
transcaspia_oblast,Transcaspia Oblast,,,,,,transoxiana|central_asian_steppe|khorasan,1884,1917,,Stub generated from turkmenistan panel; appears in 1 panel(s); needs P6.1 enrichment
tashkent_soviet,Tashkent Soviet,,,,,,transoxiana|central_asian_steppe|khorasan,1917,1919,,Stub generated from turkmenistan panel; appears in 1 panel(s); needs P6.1 enrichment
transcaspian_provisional_government,Transcaspian Provisional Government,,,,,,transoxiana|central_asian_steppe|khorasan,1918,1919,,Stub generated from turkmenistan panel; appears in 1 panel(s); needs P6.1 enrichment
turkmen_soviet_socialist_republic,Turkmen Soviet Socialist Republic,,,,,republic,transoxiana|central_asian_steppe|khorasan,1924,1991,,Stub generated from turkmenistan panel; appears in 1 panel(s); needs P6.1 enrichment
republic_of_turkmenistan,Republic Of Turkmenistan,,,,,,transoxiana|central_asian_steppe|khorasan,1991,,,Stub generated from turkmenistan panel; appears in 1 panel(s); needs P6.1 enrichment
primitive_nomads,Primitive Nomads,,,,,,transoxiana|central_asian_steppe|khorasan,-3000,-2000,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
indo_european_influx,Indo European Influx,,,,,,transoxiana|central_asian_steppe|khorasan,-2000,,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
indo_european_migrations,Indo European Migrations,,,,,,transoxiana|anatolia|central_asian_steppe|khorasan|mesopotamia|levant|arabia|caucasus|egypt,-1500,-800,,Stub generated from uzbekistan panel; appears in 2 panel(s); needs P6.1 enrichment
scythians,Scythians,,,,,,transoxiana|central_asian_steppe|khorasan,-700,-100,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
dayuan,Dayuan,,,,,,transoxiana|central_asian_steppe|khorasan,-250,-50,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
afrigid_dynasty,Afrigid Dynasty,,,,,monarchy,transoxiana|central_asian_steppe|khorasan,305,995,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
tocharians_local_principalities,Tocharians Local Principalities,,,,,,transoxiana|central_asian_steppe|khorasan,,,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
tang_anxi_protectorate,Tang Anxi Protectorate,,,,,,transoxiana|central_asian_steppe|khorasan,658,751,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
qunghirat_dynasty,Qunghirat Dynasty,,,,,monarchy,transoxiana|central_asian_steppe|khorasan,1282,1388,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
uzbek_khanate,Uzbek Khanate,,,,,khanate,transoxiana|central_asian_steppe|khorasan,1428,1598,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
emirate_of_bukhara,Emirate Of Bukhara,,,,,,transoxiana|central_asian_steppe|khorasan,1785,1920,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
basmachi_movement,Basmachi Movement,,,,,,transoxiana|central_asian_steppe|khorasan,1916,1934,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
turkestan_autonomy,Turkestan Autonomy,,,,,,transoxiana|central_asian_steppe|khorasan,1917,1918,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
khorezm_peoples_soviet_republic,Khorezm Peoples Soviet Republic,,,,,republic,transoxiana|central_asian_steppe|khorasan,1920,1924,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
bukhara_peoples_soviet_republic,Bukhara Peoples Soviet Republic,,,,,republic,transoxiana|central_asian_steppe|khorasan,1920,1924,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
uzbek_soviet_socialist_republic,Uzbek Soviet Socialist Republic,,,,,republic,transoxiana|central_asian_steppe|khorasan,1924,1991,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
republic_of_uzbekistan,Republic Of Uzbekistan,,,,,,transoxiana|central_asian_steppe|khorasan,1991,,,Stub generated from uzbekistan panel; appears in 1 panel(s); needs P6.1 enrichment
tocharians,Tocharians,,,,,,transoxiana|central_asian_steppe|khorasan,-2000,-200,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
lesser_yuezhi,Lesser Yuezhi,,,,,,transoxiana|central_asian_steppe|khorasan,-165,,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
loulan_khotan_kucha,Loulan Khotan Kucha,,,,,,transoxiana|central_asian_steppe|khorasan,-300,,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
cheshi,Cheshi,,,,,,transoxiana|central_asian_steppe|khorasan,-1000,-200,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
han_wei_jin,Han Wei Jin,,,,,,transoxiana|central_asian_steppe|khorasan,220,420,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
former_liang,Former Liang,,,,,,transoxiana|central_asian_steppe|khorasan,320,385,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
rouran_suzerainty,Rouran Suzerainty,,,,,,transoxiana|central_asian_steppe|khorasan,402,552,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
gaochang_kingdom,Gaochang Kingdom,,,,,monarchy,transoxiana|central_asian_steppe|khorasan,499,640,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
tiele_confederation,Tiele Confederation,,,,,,transoxiana|central_asian_steppe|khorasan,,,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
nushibi,Nushibi,,,,,,transoxiana|central_asian_steppe|khorasan,552,657,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
shatuo_turks,Shatuo Turks,,,,,,transoxiana|central_asian_steppe|khorasan,,,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
turfan_uyghurs,Turfan Uyghurs,,,,,,transoxiana|central_asian_steppe|khorasan,866,1209,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
kyrgyz_empire,Kyrgyz Empire,,,,,monarchy,transoxiana|central_asian_steppe|khorasan,840,920,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
karluk_yabgu_state,Karluk Yabgu State,,,,,,transoxiana|central_asian_steppe|khorasan,766,940,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
kangar,Kangar,,,,,,transoxiana|central_asian_steppe|khorasan,,,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
khotan_kingdom,Khotan Kingdom,,,,,monarchy,transoxiana|central_asian_steppe|khorasan,1006,,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
khoja_rule,Khoja Rule,,,,,,transoxiana|central_asian_steppe|khorasan,,,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
eastern_chagatai,Eastern Chagatai,,,,,,transoxiana|central_asian_steppe|khorasan,1347,1472,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
turfan_khanate,Turfan Khanate,,,,,khanate,transoxiana|central_asian_steppe|khorasan,1472,1705,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
kumul_khanate,Kumul Khanate,,,,,khanate,transoxiana|central_asian_steppe|khorasan,1696,1930,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
yettishar,Yettishar,,,,,,transoxiana|central_asian_steppe|khorasan,1865,1877,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
first_east_turkestan_republic,First East Turkestan Republic,,,,,republic,transoxiana|central_asian_steppe|khorasan,1933,1934,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
second_east_turkestan_republic,Second East Turkestan Republic,,,,,republic,transoxiana|central_asian_steppe|khorasan,1944,1949,,Stub generated from xinjiang panel; appears in 1 panel(s); needs P6.1 enrichment
pre_aksumite_coastal_trade,Pre Aksumite Coastal Trade,,,,,,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
dmt_kingdom,Dmt Kingdom,,,,,monarchy,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
pre_aksumite_chiefdoms,Pre Aksumite Chiefdoms,,,,,,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
pre_aksumite_tribes,Pre Aksumite Tribes,,,,,,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
islamic_coastal_presence,Islamic Coastal Presence,,,,,,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
dahlak_sultanate,Dahlak Sultanate,,,,,sultanate,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
solomonic_restoration,Solomonic Restoration,,,,,,nubia,1270,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
tigray_lords,Tigray Lords,,,,,,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
egyptian_khedivate_control,Egyptian Khedivate Control,,,,,,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
ethiopian_empire,Ethiopian Empire,,,,,monarchy,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
italian_eritrea,Italian Eritrea,,,,,,nubia,1890,1941,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
british_administration,British Administration,,,,,,nubia,1941,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
federation_with_ethiopia,Federation With Ethiopia,,,,,,nubia,1952,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
ogaden_region,Ogaden Region,,,,,,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
derg,Derg,,,,,,nubia,1974,1991,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
ethiopian_peoples_democratic_republic,Ethiopian Peoples Democratic Republic,,,,,republic,nubia,1987,1991,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
state_of_eritrea,State Of Eritrea,,,,,,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
federal_democratic_republic_of_ethiopia,Federal Democratic Republic Of Ethiopia,,,,,,nubia,,,,Stub generated from ethiopia panel; appears in 1 panel(s); needs P6.1 enrichment
macrobians,Macrobians,,,,,,nubia,,,,Stub generated from somalia panel; appears in 1 panel(s); needs P6.1 enrichment
zeila,Zeila,,,,,,nubia,,,,Stub generated from somalia panel; appears in 1 panel(s); needs P6.1 enrichment
city_state_confederation,City State Confederation,,,,,,nubia,,,,Stub generated from somalia panel; appears in 1 panel(s); needs P6.1 enrichment
mogadishu_sultanate,Mogadishu Sultanate,,,,,sultanate,nubia,900,,,Stub generated from somalia panel; appears in 1 panel(s); needs P6.1 enrichment
afar_sultanate,Afar Sultanate,,,,,sultanate,nubia,1577,,,Stub generated from somalia panel; appears in 1 panel(s); needs P6.1 enrichment
harrar_sultanate,Harrar Sultanate,,,,,sultanate,nubia,1647,,,Stub generated from somalia panel; appears in 1 panel(s); needs P6.1 enrichment
french_somaliland,French Somaliland,,,,,,nubia,1883,,,Stub generated from somalia panel; appears in 1 panel(s); needs P6.1 enrichment
british_somaliland,British Somaliland,,,,,,nubia,1884,,,Stub generated from somalia panel; appears in 1 panel(s); needs P6.1 enrichment
